"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Ghana",1325,"Brong Ahafo","2016",12.77,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2016",2.60,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2016",6.35,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2016",32.06,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2016",4.08,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2016",0.02,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2016",0.16,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2016",2.51,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2016",9.61,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2015",8.77,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2015",10.86,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2015",11.14,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2015",5.98,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2015",7.55,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2015",15.28,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2015",1.78,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2015",1.81,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2015",0.77,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2015",7.64,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2014",2.58,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2014",1.72,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2014",0.52,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2014",0.54,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2014",3.38,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2014",9.18,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2014",3.58,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2014",0.30,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2014",0.53,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2014",1.14,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2013",2.29,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2013",0.14,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2013",2.93,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2013",2.86,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2013",39.31,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2013",10.83,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2013",1.78,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2013",0.15,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2013",4.69,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2013",6.60,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2012",2.02,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2012",1.16,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2012",2.58,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2012",2.00,"VHI % below 35 "
