"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"United Arab Emirates","Area","2003","1000 ha","2742.19",""
"United Arab Emirates","Area","2002","1000 ha","2742.06",""
"United Arab Emirates","Area","2001","1000 ha","2741.57",""
"United Arab Emirates","Area","2000","1000 ha","2741.57",""
"United Arab Emirates","Area","1999","1000 ha","2741.52",""
"United Arab Emirates","Area","1998","1000 ha","2741.21",""
"United Arab Emirates","Area","1997","1000 ha","2740.69",""
"United Arab Emirates","Area","1996","1000 ha","2738.91",""
"United Arab Emirates","Area","1995","1000 ha","2737.01",""
"United Arab Emirates","Area","1994","1000 ha","2734.62",""
"United Arab Emirates","Area","1993","1000 ha","2734.42",""
"United Arab Emirates","Area","1992","1000 ha","2734.19",""
"United Arab Emirates","Area","1991","1000 ha","2734.19",""
"United Arab Emirates","Area","1990","1000 ha","2734.19",""
"United Arab Emirates","Area","1989","1000 ha","2734.19",""
"United Arab Emirates","Area","1988","1000 ha","2734.19",""
"United Arab Emirates","Area","1987","1000 ha","2734.19",""
"United Arab Emirates","Area","1986","1000 ha","2734.19",""
"United Arab Emirates","Area","1985","1000 ha","2734.19",""
"United Arab Emirates","Area","1984","1000 ha","2734.19",""
"United Arab Emirates","Area","1983","1000 ha","2734.19",""
"United Arab Emirates","Area","1982","1000 ha","2734.19",""
"United Arab Emirates","Area","1981","1000 ha","2734.19",""
"United Arab Emirates","Area","1980","1000 ha","2734.19",""
"United Arab Emirates","Area","1979","1000 ha","2734.19",""
"United Arab Emirates","Area","1978","1000 ha","2734.19",""
"United Arab Emirates","Area","1977","1000 ha","2734.19",""
"United Arab Emirates","Area","1976","1000 ha","2734.19",""
"United Arab Emirates","Area","1975","1000 ha","2734.19",""
"United Arab Emirates","Area","1974","1000 ha","2734.19",""
"United Arab Emirates","Area","1973","1000 ha","2734.19",""
"United Arab Emirates","Area","1972","1000 ha","2734.19",""
"United Arab Emirates","Area","1971","1000 ha","2734.19",""
"United Arab Emirates","Area","1970","1000 ha","2734.19",""
"United Arab Emirates","Area","1969","1000 ha","2734.19",""
"United Arab Emirates","Area","1968","1000 ha","2734.19",""
"United Arab Emirates","Area","1967","1000 ha","2734.19",""
"United Arab Emirates","Area","1966","1000 ha","2734.19",""
"United Arab Emirates","Area","1965","1000 ha","2734.19",""
"United Arab Emirates","Area","1964","1000 ha","2734.19",""
"United Arab Emirates","Area","1963","1000 ha","2734.19",""
"United Arab Emirates","Area","1962","1000 ha","2734.19",""
"United Arab Emirates","Area","1961","1000 ha","2734.19",""

