"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Ecuador","Area","2006","1000 ha","761.00",""
"Ecuador","Area","2005","1000 ha","752.00",""
"Ecuador","Area","2004","1000 ha","717.00",""
"Ecuador","Area","2003","1000 ha","672.00",""
"Ecuador","Area","2002","1000 ha","643.00",""
"El Salvador","Area","2021","1000 ha","18.19",""
"El Salvador","Area","2020","1000 ha","20.90",""
"El Salvador","Area","2019","1000 ha","16.70",""
"El Salvador","Area","2018","1000 ha","16.70",""
"El Salvador","Area","2016","1000 ha","22.70",""
"El Salvador","Area","2014","1000 ha","21.40",""
"El Salvador","Area","2013","1000 ha","19.50",""
"El Salvador","Area","2012","1000 ha","19.50",""
"El Salvador","Area","2011","1000 ha","15.80",""
"El Salvador","Area","2010","1000 ha","16.90",""
"El Salvador","Area","2009","1000 ha","31.40",""
"El Salvador","Area","2008","1000 ha","27.80",""
"El Salvador","Area","2007","1000 ha","24.40",""
"El Salvador","Area","2006","1000 ha","32.50",""
"El Salvador","Area","2005","1000 ha","30.10",""
"El Salvador","Area","2004","1000 ha","28.20",""
"El Salvador","Area","2003","1000 ha","28.50",""
"Ethiopia","Area","2020","1000 ha","181.40",""
"Ethiopia","Area","2018","1000 ha","788.65",""
"Ethiopia","Area","2017","1000 ha","690.74",""
"Ethiopia","Area","2011","1000 ha","164.60",""
"Ethiopia","Area","2010","1000 ha","182.00",""
"Ethiopia","Area","2009","1000 ha","154.40",""
"Ethiopia","Area","2008","1000 ha","164.37",""
"Ethiopia","Area","2007","1000 ha","179.80",""
"Ethiopia","Area","2006","1000 ha","134.50",""
"Ethiopia","Area","2005","1000 ha","146.90",""
"Ethiopia","Area","2004","1000 ha","121.50",""
"Ethiopia","Area","2003","1000 ha","120.60",""
"Ethiopia","Area","2002","1000 ha","99.00",""
"Ethiopia","Area","2001","1000 ha","67.00",""
"Finland","Area","2016","1000 ha","8.00",""
"Finland","Area","2015","1000 ha","8.00",""
"Finland","Area","2014","1000 ha","9.00",""
"France","Area","2020","1000 ha","1772.00",""
"Georgia","Area","2008","1000 ha","66.00",""
"Georgia","Area","2007","1000 ha","78.00",""
"Georgia","Area","2006","1000 ha","68.00",""
"Germany","Area","2009","1000 ha","366.00",""
"Greece","Area","2019","1000 ha","1185.33",""
"Greece","Area","2018","1000 ha","1227.87",""
"Greece","Area","2017","1000 ha","1237.11",""
"Greece","Area","2016","1000 ha","1208.00",""
"Greece","Area","2015","1000 ha","1234.00",""
"Greece","Area","2014","1000 ha","1255.00",""
"Greece","Area","2013","1000 ha","1373.00",""
"Greece","Area","2012","1000 ha","1377.00",""
"Greece","Area","2011","1000 ha","1380.00",""
"Greece","Area","2010","1000 ha","1372.00",""
"Greece","Area","2009","1000 ha","1378.00",""
"Greece","Area","2008","1000 ha","1426.00",""
"Greece","Area","2007","1000 ha","1448.00",""
"Hungary","Area","2021","1000 ha","100.41",""
"Hungary","Area","2020","1000 ha","99.46",""
"Hungary","Area","2019","1000 ha","88.93",""
"Hungary","Area","2018","1000 ha","85.90",""
"Hungary","Area","2017","1000 ha","101.30",""
"Hungary","Area","2016","1000 ha","97.50",""
"Hungary","Area","2014","1000 ha","99.30",""
"Hungary","Area","2013","1000 ha","118.30",""
"Hungary","Area","2012","1000 ha","124.70",""
"Hungary","Area","2011","1000 ha","100.90",""
"Hungary","Area","2010","1000 ha","44.60",""
"Hungary","Area","2009","1000 ha","106.66",""
"Hungary","Area","2008","1000 ha","79.87",""
"Hungary","Area","2007","1000 ha","120.49",""
"Hungary","Area","2006","1000 ha","77.66",""
"Hungary","Area","2005","1000 ha","74.74",""
"Hungary","Area","2004","1000 ha","119.12",""
"Hungary","Area","2003","1000 ha","148.00",""
"Iceland","Area","2021","1000 ha","0.05",""
"Iceland","Area","2020","1000 ha","0.05",""
"Iceland","Area","2019","1000 ha","0.05",""
"Iceland","Area","2018","1000 ha","0.05",""
"Iran (Islamic Republic of)","Area","2020","1000 ha","7972.12",""
"Iran (Islamic Republic of)","Area","2019","1000 ha","7972.12",""
"Iran (Islamic Republic of)","Area","2018","1000 ha","7972.12",""
"Iran (Islamic Republic of)","Area","2016","1000 ha","7619.40",""
"Iran (Islamic Republic of)","Area","2015","1000 ha","7619.40",""
"Iran (Islamic Republic of)","Area","2014","1000 ha","7619.40",""
"Iran (Islamic Republic of)","Area","2013","1000 ha","7681.00",""
"Iran (Islamic Republic of)","Area","2012","1000 ha","7742.60",""
"Iran (Islamic Republic of)","Area","2011","1000 ha","7804.20",""
"Iran (Islamic Republic of)","Area","2010","1000 ha","7865.80",""
"Iran (Islamic Republic of)","Area","2009","1000 ha","7927.40",""
"Iran (Islamic Republic of)","Area","2008","1000 ha","8156.00",""
"Iraq","Area","2021","1000 ha","1587.00",""
"Iraq","Area","2019","1000 ha","1775.00",""
"Iraq","Area","2016","1000 ha","1423.30",""
"Iraq","Area","2015","1000 ha","1458.90",""
"Iraq","Area","2014","1000 ha","2411.10",""
"Iraq","Area","2013","1000 ha","2434.50",""
"Ireland","Area","2021","1000 ha","0.00",""
"Ireland","Area","2020","1000 ha","0.00",""
"Ireland","Area","2019","1000 ha","0.00",""
"Ireland","Area","2018","1000 ha","0.00",""
"Ireland","Area","2017","1000 ha","0.00",""
"Ireland","Area","2016","1000 ha","0.00",""
"Ireland","Area","2015","1000 ha","0.00",""
"Ireland","Area","2014","1000 ha","0.00",""
"Ireland","Area","2013","1000 ha","0.00",""
"Ireland","Area","2012","1000 ha","0.00",""
"Ireland","Area","2011","1000 ha","0.00",""
"Ireland","Area","2010","1000 ha","0.00",""
"Ireland","Area","2009","1000 ha","0.00",""
"Ireland","Area","2008","1000 ha","0.00",""
"Israel","Area","2007","1000 ha","155.50",""
"Israel","Area","2002","1000 ha","174.00",""
"Israel","Area","2001","1000 ha","177.00",""
"Japan","Area","2014","1000 ha","1573.00",""
"Japan","Area","2013","1000 ha","1597.00",""
"Japan","Area","2012","1000 ha","1579.00",""
"Japan","Area","2011","1000 ha","1574.00",""
"Japan","Area","2010","1000 ha","1625.00",""
"Japan","Area","2009","1000 ha","1621.00",""
"Japan","Area","2008","1000 ha","1624.00",""
"Japan","Area","2007","1000 ha","1669.00",""
"Japan","Area","2006","1000 ha","1684.00",""
"Japan","Area","2005","1000 ha","1702.00",""
"Japan","Area","2004","1000 ha","1697.00",""
"Japan","Area","2003","1000 ha","1660.00",""
"Japan","Area","2002","1000 ha","1683.00",""
"Japan","Area","2001","1000 ha","1700.00",""
"Jordan","Area","2021","1000 ha","89.60",""
"Jordan","Area","2020","1000 ha","83.32",""
"Jordan","Area","2019","1000 ha","80.06",""
"Jordan","Area","2018","1000 ha","84.40",""
"Jordan","Area","2017","1000 ha","86.50",""
"Jordan","Area","2016","1000 ha","106.60",""
"Jordan","Area","2015","1000 ha","103.50",""
"Jordan","Area","2014","1000 ha","105.00",""
"Jordan","Area","2013","1000 ha","103.40",""
"Jordan","Area","2012","1000 ha","95.70",""
"Jordan","Area","2011","1000 ha","96.30",""
"Jordan","Area","2010","1000 ha","96.40",""
"Jordan","Area","2009","1000 ha","94.80",""
"Jordan","Area","2008","1000 ha","92.80",""
"Jordan","Area","2007","1000 ha","72.00",""
"Jordan","Area","2006","1000 ha","84.00",""
"Jordan","Area","2005","1000 ha","80.00",""
"Jordan","Area","2004","1000 ha","76.00",""
"Jordan","Area","2003","1000 ha","71.00",""
"Jordan","Area","2002","1000 ha","75.00",""
"Jordan","Area","2001","1000 ha","73.00",""
"Kenya","Area","2021","1000 ha","32.00",""
"Kenya","Area","2020","1000 ha","31.60",""
"Kenya","Area","2019","1000 ha","32.30",""
"Kenya","Area","2018","1000 ha","27.40",""
"Kenya","Area","2017","1000 ha","21.90",""
"Kenya","Area","2016","1000 ha","14.60",""
"Kenya","Area","2015","1000 ha","13.90",""
"Kenya","Area","2014","1000 ha","19.40",""
"Kenya","Area","2013","1000 ha","18.60",""
"Kenya","Area","2012","1000 ha","21.30",""
"Kenya","Area","2006","1000 ha","12.50",""
"Kenya","Area","2005","1000 ha","11.00",""
"Kenya","Area","2004","1000 ha","11.00",""
"Kenya","Area","2003","1000 ha","30.00",""
"Kenya","Area","2002","1000 ha","7.00",""
"Kenya","Area","2001","1000 ha","12.00",""
"Kuwait","Area","2008","1000 ha","3.60",""
"Kuwait","Area","2007","1000 ha","3.60",""
"Kuwait","Area","2006","1000 ha","3.00",""
"Kuwait","Area","2005","1000 ha","3.00",""
"Kuwait","Area","2004","1000 ha","3.00",""
"Kuwait","Area","2003","1000 ha","3.00",""
"Kuwait","Area","2002","1000 ha","3.00",""
"Kuwait","Area","2001","1000 ha","2.00",""
"Kyrgyzstan","Area","2021","1000 ha","939.80",""
"Kyrgyzstan","Area","2020","1000 ha","939.80",""
"Kyrgyzstan","Area","2019","1000 ha","939.70",""
"Kyrgyzstan","Area","2018","1000 ha","939.40",""
"Kyrgyzstan","Area","2017","1000 ha","939.10",""
"Kyrgyzstan","Area","2016","1000 ha","938.90",""
"Kyrgyzstan","Area","2015","1000 ha","938.10",""
"Kyrgyzstan","Area","2014","1000 ha","938.00",""
"Kyrgyzstan","Area","2008","1000 ha","70.70",""
"Kyrgyzstan","Area","2007","1000 ha","70.60",""
"Kyrgyzstan","Area","2006","1000 ha","68.40",""
"Kyrgyzstan","Area","2005","1000 ha","69.00",""
"Kyrgyzstan","Area","2004","1000 ha","69.00",""
"Kyrgyzstan","Area","2003","1000 ha","64.00",""
"Kyrgyzstan","Area","2002","1000 ha","62.00",""
"Kyrgyzstan","Area","2001","1000 ha","63.00",""
"Lebanon","Area","2006","1000 ha","109.00",""
"Lebanon","Area","2005","1000 ha","109.00",""
"Lebanon","Area","2004","1000 ha","109.00",""
"Lebanon","Area","2003","1000 ha","107.00",""
"Lebanon","Area","2001","1000 ha","101.00",""
"Lithuania","Area","2020","1000 ha","6.10",""
"Malaysia","Area","2021","1000 ha","442.00",""
"Malaysia","Area","2020","1000 ha","442.00",""
"Malaysia","Area","2019","1000 ha","442.00",""
"Malaysia","Area","2018","1000 ha","442.00",""
"Malaysia","Area","2017","1000 ha","442.00",""
"Malaysia","Area","2016","1000 ha","442.00",""
"Malaysia","Area","2015","1000 ha","442.00",""
"Malaysia","Area","2014","1000 ha","443.00",""
"Malaysia","Area","2013","1000 ha","444.00",""
"Mali","Area","2007","1000 ha","168.00",""
"Mali","Area","2006","1000 ha","166.00",""
"Mali","Area","2005","1000 ha","165.00",""
"Mali","Area","2004","1000 ha","155.00",""
"Mali","Area","2003","1000 ha","153.00",""
"Malta","Area","2021","1000 ha","3.89",""
"Malta","Area","2020","1000 ha","3.89",""
"Malta","Area","2019","1000 ha","3.50",""
"Malta","Area","2018","1000 ha","3.50",""
"Malta","Area","2017","1000 ha","3.50",""
"Malta","Area","2016","1000 ha","3.50",""
"Malta","Area","2015","1000 ha","3.70",""
"Malta","Area","2014","1000 ha","3.70",""
"Malta","Area","2013","1000 ha","3.70",""
"Malta","Area","2012","1000 ha","3.50",""
"Malta","Area","2011","1000 ha","3.50",""
"Malta","Area","2010","1000 ha","3.50",""
"Malta","Area","2009","1000 ha","2.70",""
"Malta","Area","2008","1000 ha","2.70",""
"Malta","Area","2007","1000 ha","2.70",""
"Malta","Area","2005","1000 ha","2.40",""
"Malta","Area","2003","1000 ha","2.10",""
"Mexico","Area","2021","1000 ha","5720.00",""
"Mexico","Area","2020","1000 ha","5792.00",""
"Mexico","Area","2019","1000 ha","5797.00",""
"Mongolia","Area","2020","1000 ha","60.20",""
"Mongolia","Area","2019","1000 ha","47.30",""
"Mongolia","Area","2018","1000 ha","36.50",""
"Mongolia","Area","2017","1000 ha","36.00",""
"Mongolia","Area","2016","1000 ha","35.70",""
"Mongolia","Area","2015","1000 ha","45.20",""
"Morocco","Area","2019","1000 ha","1764.50",""
"Morocco","Area","2018","1000 ha","1705.20",""
"Morocco","Area","2017","1000 ha","1772.50",""
"Morocco","Area","2016","1000 ha","1672.30",""
"Myanmar","Area","2020","1000 ha","1714.00",""
"Myanmar","Area","2019","1000 ha","1654.00",""
"Myanmar","Area","2018","1000 ha","1651.00",""
"Myanmar","Area","2017","1000 ha","1629.00",""
"Myanmar","Area","2016","1000 ha","1404.88",""
"Niger","Area","2020","1000 ha","266.60",""
"Niger","Area","2019","1000 ha","206.54",""
"Niger","Area","2018","1000 ha","182.87",""
"Niger","Area","2017","1000 ha","158.83",""
"North Macedonia","Area","2016","1000 ha","81.98",""
"North Macedonia","Area","2013","1000 ha","72.30",""
"Oman","Area","2016","1000 ha","83.83",""
"Oman","Area","2015","1000 ha","82.06",""
"Oman","Area","2014","1000 ha","68.05",""
"Oman","Area","2013","1000 ha","67.11",""
"Palestine","Area","2021","1000 ha","23.00",""
"Palestine","Area","2017","1000 ha","136.00",""
"Palestine","Area","2016","1000 ha","120.00",""
"Palestine","Area","2013","1000 ha","15.14",""
"Palestine","Area","2012","1000 ha","23.01",""
"Palestine","Area","2011","1000 ha","14.40",""
"Palestine","Area","2010","1000 ha","12.80",""
"Palestine","Area","2008","1000 ha","17.00",""
"Palestine","Area","2007","1000 ha","17.70",""
"Palestine","Area","2006","1000 ha","16.50",""
"Palestine","Area","2005","1000 ha","15.40",""
"Palestine","Area","2004","1000 ha","15.80",""
"Palestine","Area","2003","1000 ha","15.40",""
"Palestine","Area","2002","1000 ha","16.20",""
"Palestine","Area","2001","1000 ha","16.30",""
"Portugal","Area","2019","1000 ha","516.71",""
"Qatar","Area","2021","1000 ha","13.00",""
"Qatar","Area","2020","1000 ha","13.00",""
"Qatar","Area","2019","1000 ha","12.00",""
"Qatar","Area","2018","1000 ha","11.00",""
"Qatar","Area","2017","1000 ha","11.00",""
"Qatar","Area","2016","1000 ha","11.00",""
"Qatar","Area","2015","1000 ha","11.00",""
"Republic of Moldova","Area","2021","1000 ha","214.00",""
"Republic of Moldova","Area","2020","1000 ha","215.50",""
"Republic of Moldova","Area","2019","1000 ha","221.00",""
"Republic of Moldova","Area","2018","1000 ha","221.10",""
"Republic of Moldova","Area","2017","1000 ha","226.50",""
"Republic of Moldova","Area","2016","1000 ha","226.50",""
"Republic of Moldova","Area","2015","1000 ha","226.50",""
"Republic of Moldova","Area","2014","1000 ha","226.50",""
"Romania","Area","2021","1000 ha","344.80",""
"Romania","Area","2020","1000 ha","472.60",""
"Romania","Area","2019","1000 ha","286.90",""
"Romania","Area","2018","1000 ha","266.20",""
"Romania","Area","2017","1000 ha","210.50",""
"Romania","Area","2016","1000 ha","153.00",""
"Romania","Area","2015","1000 ha","173.00",""
"Romania","Area","2014","1000 ha","145.00",""
"Romania","Area","2013","1000 ha","180.80",""
"Romania","Area","2012","1000 ha","165.60",""
"Romania","Area","2011","1000 ha","103.40",""
"Romania","Area","2010","1000 ha","83.30",""
"Romania","Area","2009","1000 ha","296.00",""
"Romania","Area","2008","1000 ha","257.00",""
"Romania","Area","2007","1000 ha","320.00",""
"Romania","Area","2006","1000 ha","96.50",""
"Romania","Area","2005","1000 ha","46.00",""
"Romania","Area","2004","1000 ha","327.00",""
"Romania","Area","2003","1000 ha","569.00",""
"Romania","Area","2002","1000 ha","488.00",""
"Romania","Area","2001","1000 ha","327.00",""
"Saudi Arabia","Area","2021","1000 ha","665.87",""
"Saudi Arabia","Area","2020","1000 ha","702.45",""
"Saudi Arabia","Area","2019","1000 ha","710.31",""
"Saudi Arabia","Area","2018","1000 ha","905.28",""
"Senegal","Area","2006","1000 ha","63.00",""
"Senegal","Area","2005","1000 ha","67.00",""
"Senegal","Area","2004","1000 ha","60.00",""
"Senegal","Area","2003","1000 ha","54.00",""
"Senegal","Area","2002","1000 ha","56.00",""
"Serbia","Area","2021","1000 ha","52.00",""
"Serbia","Area","2020","1000 ha","52.00",""
"Serbia","Area","2019","1000 ha","47.00",""
"Serbia","Area","2018","1000 ha","47.00",""
"Serbia","Area","2017","1000 ha","50.00",""
"Serbia","Area","2016","1000 ha","43.00",""
"Serbia","Area","2015","1000 ha","55.00",""
"Serbia","Area","2014","1000 ha","45.00",""
"Serbia","Area","2013","1000 ha","53.00",""
"Slovakia","Area","2010","1000 ha","14.80",""
"Slovenia","Area","2020","1000 ha","3.96",""
"Slovenia","Area","2019","1000 ha","3.15",""
"Slovenia","Area","2018","1000 ha","3.20",""
"Slovenia","Area","2017","1000 ha","3.20",""
"Slovenia","Area","2016","1000 ha","3.10",""
"Slovenia","Area","2015","1000 ha","3.00",""
"Slovenia","Area","2014","1000 ha","2.00",""
"Slovenia","Area","2013","1000 ha","2.00",""
"Slovenia","Area","2012","1000 ha","2.00",""
"Slovenia","Area","2011","1000 ha","4.00",""
"Slovenia","Area","2010","1000 ha","4.00",""
"Slovenia","Area","2009","1000 ha","4.00",""
"Slovenia","Area","2008","1000 ha","4.00",""
"Slovenia","Area","2007","1000 ha","4.00",""
"Slovenia","Area","2006","1000 ha","3.00",""
"Slovenia","Area","2005","1000 ha","2.00",""
"Slovenia","Area","2004","1000 ha","3.00",""
"Slovenia","Area","2003","1000 ha","3.00",""
"Slovenia","Area","2002","1000 ha","3.00",""
"Slovenia","Area","2001","1000 ha","3.00",""
"Sudan (former)","Area","2009","1000 ha","1427.00",""
"Sudan (former)","Area","2008","1000 ha","1573.00",""
"Sudan (former)","Area","2007","1000 ha","1171.00",""
"Sudan (former)","Area","2006","1000 ha","1460.00",""
"Sudan (former)","Area","2005","1000 ha","1609.00",""
"Sudan (former)","Area","2004","1000 ha","1659.00",""
"Sudan (former)","Area","2003","1000 ha","1526.00",""
"Sudan (former)","Area","2002","1000 ha","1372.00",""
"Suriname","Area","2021","1000 ha","57.00",""
"Suriname","Area","2020","1000 ha","58.00",""
"Suriname","Area","2019","1000 ha","61.00",""
"Suriname","Area","2018","1000 ha","60.00",""
"Suriname","Area","2017","1000 ha","61.00",""
"Suriname","Area","2016","1000 ha","64.00",""
"Suriname","Area","2015","1000 ha","66.00",""
"Syrian Arab Republic","Area","2020","1000 ha","1012.80",""
"Syrian Arab Republic","Area","2019","1000 ha","1013.14",""
"Syrian Arab Republic","Area","2018","1000 ha","973.65",""
"Syrian Arab Republic","Area","2017","1000 ha","948.70",""
"Syrian Arab Republic","Area","2016","1000 ha","1003.97",""
"Syrian Arab Republic","Area","2013","1000 ha","1310.00",""
"Syrian Arab Republic","Area","2012","1000 ha","1428.00",""
"Syrian Arab Republic","Area","2011","1000 ha","1399.00",""
"Syrian Arab Republic","Area","2010","1000 ha","1341.00",""
"Syrian Arab Republic","Area","2009","1000 ha","1238.00",""
"Syrian Arab Republic","Area","2008","1000 ha","1356.00",""
"Syrian Arab Republic","Area","2007","1000 ha","1396.00",""
"Syrian Arab Republic","Area","2006","1000 ha","1402.00",""
"Syrian Arab Republic","Area","2005","1000 ha","1426.00",""
"Syrian Arab Republic","Area","2004","1000 ha","1439.00",""
"Syrian Arab Republic","Area","2003","1000 ha","1361.00",""
"Tajikistan","Area","2021","1000 ha","594.10",""
"Tajikistan","Area","2020","1000 ha","588.90",""
"Tajikistan","Area","2019","1000 ha","719.40",""
"Tajikistan","Area","2018","1000 ha","602.60",""
"Tajikistan","Area","2017","1000 ha","598.50",""
"Tajikistan","Area","2016","1000 ha","594.50",""
"Tajikistan","Area","2015","1000 ha","734.00",""
"Tajikistan","Area","2014","1000 ha","733.00",""
"Ukraine","Area","2021","1000 ha","424.00",""
"Ukraine","Area","2020","1000 ha","417.00",""
